ID,Name,Designator,Package,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Mounted,Stock
1,PINHD-1X2,"PASS_3V3, PASS_RST",1x02,2,PZ254V-11-02P,XFCN,LCSC,C492401,Yes,172800
2,PINHD-2x2,"BL_CTRL, I2C1, SPI0, SPI1, SPI2",2x02,5,C66690,Boom Precision Elec,LCSC,C66690,Yes,42800
3,PINHD-2x20,IO_EXT,2x20,1,12251220ANG0S115001,JILN,LCSC,C429965,Yes,10290
4,0.1uF,"C1, C2, C3, C4, C5, C6, C7, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C34",C0201,23,GRM033R61A104ME15D,Murata Electronics,Digi-Key,490-5405-1-ND,Yes,6642703
5,10K,"R5, R6, R7",R0402,3,CR0402-JW-103GLF,Bourns Inc,Digi-Key,CR0402-JW-103GLFCT-ND,Yes,738885
6,10uF/16v,"C9, C10",C0603,2,GRM188R61C106MA73D,Murata Electronics,Digi-Key,490-7201-1-ND,Yes,257364
7,15pF,"C12, C13",C0201,2,0201N150J500CT,Walsin Technology Corp,Digi-Key,1292-1139-1-ND,Yes,47030
8,1K5,"R8, R37",R0603,2,WR06X152 JTL,Walsin Technology Corp,Digi-Key,1292-WR06X152JTLCT-ND,Yes,23148
9,1M,R1,R0201,1,RC0201FR-071ML,Yageo,Digi-Key,311-1MMCT-ND,Yes,991318
10,22R,"R2, R3",R0402,2,CR0402-JW-220GLF,Bourns Inc,Digi-Key,CR0402-JW-220GLFCT-ND,Yes,72781
11,4.7nF / 50V,C8,C0201,1,UMK063BJ472MP-F,Taiyo Yuden,Digi-Key,587-UMK063BJ472MP-FCT-ND,Yes,14371
12,470R,"R4,R11,R12",R0402,3,CR0402-FX-4700GLF,Bourns Inc,Digi-Key,CR0402-FX-4700GLFCT-ND,Yes,18615
13,8MHz,Q2,NX3225,1,ECS-80-10-33-CHN-TR,ECS Inc,Digi-Key,50-ECS-80-10-33-CHN-CT-ND,Yes,7388
14,AMS1117-3.3,IC2,SOT23,1,AMS1117-3.3,UMW (Youtai Semiconductor Co.),LCSC,C347222,Yes,1237120
15,B3F-1005,"BOOT_SEL, RESET",TACTILE-PTH,2,B3F-1005,Omron Electronics,LCSC,C397293,Yes,1639
16,DC-005,+5V_IN,DCJ3P-14.2X11.0X9.0MM,1,DC-005 2.0,Boom Precision Elec,LCSC,C16214,Yes,96880
17,GD32F450,IC1,BGA176,1,GD32F450IIH6,Gigadevice Semicon,LCSC,C179655,Yes,37
18,GD32_DEBUG,PROG,SMD-10-1.27,1,FTSH-105-01-LM-DV-K-P-TR,"Samtec, Inc",Digi-Key,SAM13168CT-ND,Yes,13509
21,GRN-0402,"D1,D4,D5",LED-0402,3,IN-S42BT5G,Inolux,Digi-Key,1830-IN-S42BT5GCT-ND,Yes,48440
22,JS202011SCQN,"BOOT_WHICH, POWER",JS202011SCQN,2,JS202011SCQN,C&K,LCSC,C221666,Yes,1934
23,LCD,J1,FFC40,1,CF5040FD0R0-05-NH,Cvilux USA,Digi-Key,2987-CF5040FD0R0-05-NHCT-ND,Yes,2974
25,USB,USB_IN,U254051T4BHJ25S2S,1,U254-051T-4BHJ25-S2S,XKB Connectivity,LCSC,C319163,Yes,83460
24,SDRAM,U1,TSOP-54,1,W9825G6KH-6I,Winbond Elec,LCSC,C97572,Yes,258
25,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,